Season,Episode,Rating 
1,1,7.6
1,2,7.2
1,3,7.5
1,4,7.9
1,5,7.7
1,6,7.7
1,7,7.0
1,8,7.4
1,9,7.6
1,10,7.6
1,11,7.8
1,12,8.0
1,13,7.8
1,14,7.3
1,15,7.8
1,16,7.3
1,17,7.8
1,18,7.9
1,19,8.1
1,20,7.6
1,21,7.8
1,22,7.6
1,23,7.5
1,24,7.8
2,1,7.3
2,2,7.7
2,3,7.6
2,4,7.1
2,5,7.7
2,6,7.7
2,7,7.7
2,8,7.6
2,9,7.5
2,10,7.7
2,11,8.1
2,12,7.7
2,13,7.0
2,14,7.9
2,15,9.0
2,16,8.0
2,17,8.1
2,18,7.7
2,19,8.4
2,20,7.5
2,21,7.7
2,22,7.5
2,23,8.4
2,24,8.0
2,25,8.6
3,1,7.7
3,2,7.5
3,3,7.6
3,4,7.4
3,5,7.1
3,6,7.6
3,7,7.6
3,8,7.3
3,9,7.4
3,10,7.4
3,11,7.4
3,12,7.2
3,13,8.3
3,14,8.5
3,15,7.5
3,16,7.2
3,17,7.1
3,18,7.2
3,19,7.6
3,20,7.3
3,21,7.5
3,22,7.4
3,23,7.7
4,1,7.6
4,2,7.5
4,3,7.2
4,4,7.3
4,5,7.9
4,6,8.7
4,7,8.1
4,8,8.0
4,9,8.1
4,10,7.6
4,11,7.5
4,12,7.4
4,13,7.2
4,14,7.1
4,15,7.6
4,16,7.4
4,17,8.2
4,18,7.4
4,19,7.4
4,20,7.3
4,21,7.6
4,22,9.0
5,1,7.7
5,2,7.2
5,3,7.5
5,4,7.3
5,5,7.3
5,6,7.5
5,7,7.2
5,8,7.2
5,9,7.3
5,10,7.4
5,11,7.3
5,12,7.8
5,13,7.1
5,14,7.1
5,15,7.1
5,16,7.5
5,17,7.6
5,18,8.1
5,19,7.2
5,20,7.4
5,21,8.1
5,22,8.8
6,1,7.5
6,2,6.5
6,3,7.1
6,4,7.4
6,5,7.4
6,6,7.3
6,7,7.1
6,8,7.4
6,9,7.1
6,10,7.5
6,11,7.3
6,12,7.2
6,13,7.3
6,14,7.4
6,15,7.7
6,16,7.7
6,17,7.0
6,18,7.5
6,19,7.5
6,20,7.5
6,21,8.1
6,22,9.1
7,1,7.2
7,2,7.1
7,3,7.2
7,4,7.3
7,5,7.2
7,6,7.8
7,7,7.9
7,8,8.3
""
